OPE ID,School,ADDR,City,State,Zip Code,SchoolType,loans,grants,total,DL.Subsidized.Recipients,DL.Subsidized.# of Loans Originated,DL.Subsidized.$ of Loans Originated,DL.Subsidized.# of Disbursements,subudis,DL.Unsubsidized.Undergrad.Recipients,DL.Unsubsidized.Undergrad.# of Loans Originated,DL.Unsubsidized.Undergrad.$ of Loans Originated,DL.Unsubsidized.Undergrad.# of Disbursements,unsubudis,DL.Unsubsidized.Graduate.Recipients,DL.Unsubsidized.Graduate.# of Loans Originated,DL.Unsubsidized.Graduate.$ of Loans Originated,DL.Unsubsidized.Graduate.# of Disbursements,DL.Unsubsidized.Graduate.$ of Disbursements,DL.Parent.Plus.Recipients,DL.Parent.Plus.# of Loans Originated,DL.Parent.Plus.$ of Loans Originated,DL.Parent.Plus.# of Disbursements,DL.Parent.Plus.$ of Disbursements,DL.Grad.Plus.Recipients,DL.Grad.Plus.# of Loans Originated,DL.Grad.Plus.$ of Loans Originated,DL.Grad.Plus.# of Disbursements,DL.Grad.Plus.$ of Disbursements,Pell.Grant.Program.YTD Recipients,Pell.Grant.Program.YTD Disbursements,TEACH.Program.YTD Recipients,TEACH.Program.YTD Disbursements,Iraq.Afghanistan.Service.Grant.Program.YTD Recipients,Iraq.Afghanistan.Service.Grant.Program.YTD Disbursements,PBM LEN,SCH TYPE,YR 1,NBD 1,NBR 1,DRATE1,PRATE 1,YR 2,NBD 2,NBR 2,DRATE 2,PRATE 2,FFEL DEF,FFEL REP,FDSLP DEF,FDSLP REP,ETNC CODE,PROGRAM,CON DIS,REGION,AVGOR GE30
379400,Saint Martin's University,5000 Abbey Way Se,Lacey,WA,985037500,Private,6807384,2224634,9032018,727,906,3492173,1621,3486231,761,951,3332668,1753,3321153,181,233,3521099,450,3458612,100,113,1411884,209,1393232,14,16,186964,32,186964,579,2224634,26,74400,,,8,2,2010,38,398,9.5,A,2009,25,403,6.2,A,35,347,13,190,5,D,9,10,0
379600,Tacoma Community College,6501 South 19th Street,Tacoma,WA,984666100,Public,16066196,14817974,30884170,2616,2738,7105734,6477,7056080,2394,2503,9127853,5894,9010116,,,,0,,4,4,19134,10,18978,,,,0,,4381,14817974,,,,,5,1,2010,166,1007,16.4,A,2009,153,906,16.8,A,166,1007,0,0,5,D,6,10,0
379700,University of Puget Sound,1500 North Warner Street,Tacoma,WA,984160001,Private,9171933,2165881,11337814,1198,1259,5319400,2374,5301908,1160,1293,3911288,2418,3870025,183,255,4175222,488,4139391,309,369,6652072,634,6541521,104,145,1845605,237,1843415,534,2165881,5,18000,,,8,2,2010,18,604,2.9,A,2009,7,585,1.1,A,17,580,3,121,5,D,6,10,0
379800,University of Washington - Seattle,3917 University Way Ne,Seattle,WA,981951122,Public,81837795,45418874,127256669,10491,11986,49307192,32475,48049873,8678,9708,34730696,25368,33787922,5074,5900,119827584,17495,114273283,1980,2265,34928368,5950,32990345,2491,4266,43281685,9359,40955069,11366,45418874,47,164247,,,8,1,2010,270,6809,3.9,P,2009,203,6381,3.1,P,270,6809,270,6809,5,D,7,10,0
379900,Walla Walla University,204 South College Avenue,College Place,WA,993241198,Private,7872574,2272317,10144891,916,1101,3840442,2674,3835601,1012,1175,4054179,2887,4036973,231,359,4600211,663,4593510,115,145,1537522,330,1525482,64,115,1011038,207,1011022,563,2272317,,,,,8,2,2010,23,492,4.6,A,2009,28,519,5.3,A,23,492,0,0,5,D,5,10,0
380000,Washington State University,1 Southeast Stadium Way,Pullman,WA,991641035,Public,85466317,31362648,116828965,10625,11527,44699226,19465,43862860,10159,11773,42642547,19955,41603457,1703,2149,36682730,3605,36096711,2711,3144,38545807,5382,37507991,495,689,4226931,1047,4130428,8167,31362648,19,70212,,,8,1,2010,284,4820,5.8,P,2009,266,4623,5.7,P,284,4820,284,4820,5,D,5,10,0
380100,Wenatchee Valley College,1300 Fifth Street,Wenatchee,WA,988011799,Public,6811066,8787037,15598103,1118,1249,3429588,2948,3313588,920,1007,3742958,2494,3497478,,,,0,,9,9,99041,25,89665,,,,0,,2513,8787037,,,,,5,1,2010,110,442,24.8,A,2009,75,451,16.6,A,31,218,97,355,5,D,4,10,0
380200,Western Washington University,516 High Street,Bellingham,WA,982255946,Public,42573769,14501714,57075483,5435,5821,22360311,14650,22275758,5309,5962,20476063,14834,20298011,339,441,4548796,955,4506991,1862,2025,22660143,5279,21823055,49,59,223096,114,222160,3822,14501714,8,29861,,,8,1,2010,114,2443,4.6,A,2009,68,2495,2.7,A,0,0,114,2443,5,D,2,10,0
380300,Whitman College,345 Boyer Street,Walla Walla,WA,993622067,Private,2813652,654007,3467659,491,493,2030390,939,2025648,241,241,794417,447,788004,,,,0,,71,80,1433890,143,1402456,,,,0,,169,654007,,,,,6,2,2010,5,191,2.6,A,2009,3,206,1.4,A,5,191,0,0,5,D,5,10,0
380400,Whitworth University,300 West Hawthorne Road,Spokane,WA,992510001,Private,12544012,2928904,15472916,1528,1660,6603208,3158,6588590,1601,1684,5979044,3198,5955422,181,211,2805973,418,2764876,310,333,4957369,623,4822610,5,5,15569,6,15569,785,2928904,18,80140,,,8,2,2010,32,635,5,A,2009,13,580,2.2,A,0,0,32,635,5,D,5,10,0
